Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,Interview4_ZH,Interview4_EN,ImageURL,LocalImage
Ryan Kim,Ryan Kim,Founding Partner,Founding Partner,Hashed,Hashed,Ryan Kim 是 Hashed 的联合创始人兼合伙人，Hashed 是一家全球风投基金，专注推动区块链和 Web3 技术的普及。常驻新加坡的他负责基础设施、DeFi、游戏与娱乐等方向的投资，与具有前瞻视野的创始人紧密合作，为其连接全球资源与网络。Hashed 在首尔、新加坡、硅谷和阿布扎比设有办公室，使 Ryan 能从跨区域视角推动协作与机会挖掘。在联合创立 Hashed 之前，他打造了面向中小企业的移动解决方案 LOOKET，并成功将其出售给大数据公司 Recobell；在 LOOKET 期间，他负责推荐系统的规划与开发，这段经历让他深刻理解数据挑战，并激发了对区块链的兴趣。Ryan 毕业于韩国科学技术院（KAIST），拥有电子工程学士学位。,"Ryan Kim is a Co-founder and Partner at Hashed, a global venture fund dedicated to accelerating the adoption of blockchain and Web3 technologies. Based in Singapore, he leads investments in Infrastructure, DeFi, Gaming, and Entertainment, working closely with visionary founders to connect them with global networks and resources. Hashed operates from offices in Seoul, Singapore, Silicon Valley, and Abu Dhabi, giving Ryan a strategic vantage point to drive cross-border collaboration and unlock opportunities across diverse markets. Before co-founding Hashed, he successfully exited LOOKET, a mobile solution for SMEs, through its acquisition by Recobell, a leading big data company. At LOOKET, he led the development and planning of recommendation systems, an experience that deepened his understanding of data challenges and sparked his passion for blockchain technology. Ryan holds a bachelor’s degree in Electronic Engineering from KAIST (Korea Advanced Institute of Science and Technology).",Ryan Kim，您在Hashed担任Founding Partner期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Founding Partner at Hashed, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Hashed 投资基础设施、DeFi、游戏和娱乐。回顾近两年，你最惊讶的一次“传统 IP 与链上资产结合”的案例是什么？,"At Hashed you invest across infra, DeFi, gaming, and entertainment. In the past two years, which collaboration between a traditional IP and on‑chain assets surprised you the most?",作为工程背景出身的投资人，你在看技术型项目时，会如何区分“优秀工程团队”和“真正能跑出产品的创业团队”？,"With an engineering background, how do you distinguish a great engineering team from a team that can actually ship a successful product when evaluating technical projects?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/577d900f9b4445d6a38e465827c94479!_!7da6811950b5ce5ace1cea13a7d57772.png?f=webp,avatars/ryan-kim.png
Sam Elfarra,Sam Elfarra,Community Spokesperson,Community Spokesperson,TRON DAO,TRON DAO,Sam Elfarra 是 TRON DAO 的社区发言人，在加密行业拥有七年以上经验。凭借其战略视野与实干型领导力，他通过与行业领袖协作和推动多项生态计划，帮助 TRON 持续扩大影响力。Sam 还通过 TRON Builder Tour 培养新一代创新者，曾在哈佛、普林斯顿、MIT、哥伦比亚大学、东北大学和 UCI 等知名高校与学生互动。他致力于推动 TRON 技术与既有机构的融合，是去中心化技术与社区驱动创新的重要倡导者。,"Sam Elfarra is a Community Spokesperson at the TRON DAO, bringing over seven years of experience in the cryptocurrency industry. Known for his strategic vision and hands-on leadership, Sam has played a pivotal role in expanding TRON's impact by driving ecosystem development with industry leaders and leading effective initiatives. Sam's contribution extends to mentoring the next generation of innovators through the TRON Builder Tour, where he has engaged with renowned institutions such as Harvard, Princeton, MIT, Columbia, Northeastern, and UCI. His dedication to fostering growth and collaborations within the blockchain space is evident through his efforts to seamlessly integrate TRON's technology with established organizations, reinforcing his reputation as a key advocate for decentralized technology and community-driven progress.",Sam Elfarra，您在TRON DAO担任Community Spokesperson期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Community Spokesperson at TRON DAO, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 TRON DAO 做社区发言人并推动 Builder Tour。哪一种线下校园活动形式，最能让学生真正理解“区块链不是只为炒币存在”？,"As a TRON DAO community spokesperson leading the Builder Tour, which offline campus format best helps students understand that “blockchain is more than speculation”?",在你与机构和开发者的互动中，你如何定位 TRON 在多链世界里的独特角色，而不仅仅是“另一条公链”？,"In your conversations with institutions and developers, how do you position TRON’s unique role in a multi‑chain world beyond being “just another L1”?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/2070646af1f5466089f1a3203179a737!_!06e9b7bac186bf2b25755701328709d0.png?f=webp,avatars/sam-elfarra.png
Sami M,Sami M,Growth Marketer,Growth Marketer,Binance,Binance,Sami Khojali 是 Binance 的增长营销负责人，通过本地化全球战略并统筹高影响力活动，在中东和北非地区推动用户增长。,"Sami Khojali is a Growth Marketer at Binance, driving cross-regional user growth by localizing global strategies and coordinating high-impact campaign execution across the MENA region.",Sami M，您在Binance担任Growth Marketer期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Growth Marketer at Binance, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 MENA 区推动 Binance 用户增长。你如何为本地市场选择“最合适的入口产品”：是现货、赚币产品还是法币通道？,"Driving Binance growth in MENA, how do you choose the most appropriate entry product for a local market—spot trading, earn products, or fiat ramps?",面对本地文化和宗教对金融产品的特殊要求，你在设计活动和产品推广时，会特别注意避免什么？,"With local cultural and religious constraints on finance, what do you pay special attention to when designing campaigns and product messaging?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/4e781a33d5b1456ba86453eee8d7ffd9!_!459d9d1f146fd32abb0e365a11be903b.png?f=webp,avatars/sami-m.png
Sarah Abuagela,Sarah Abuagela,Partner,Partner,Ceras Ventures,Ceras Ventures,Sarah Abuagela 是 Ceras Ventures 的合伙人兼投资主管，这是一家专注全球区块链与 Web3 的投资机构，她目前管理着 70 多家高速成长初创企业的投资组合。她在麻省理工学院和曼彻斯特大学接受教育，研究重点涵盖金融科技、区块链与量子计算，其研究曾聚焦欧洲市场的数字资产采纳与央行数字货币（CBDC）。作为公认的行业思想领袖，她被评为“中东最具影响力的 100 位女性”之一，经常在全球会议上分享区块链应用场景、投资趋势和科技包容性议题。Sarah 对导师制和女性创业者扶持充满热情，活跃于 Brinc、Algorand Foundation、Sui 等国际加速器和机构，为创业者和年轻职场人士提供辅导。她还通过与高校、政府部门和企业合作的教育项目，推动新兴市场对数字资产和人工智能的理解与采用。,"Sarah Abuagela, Partner and Head of Investment at Ceras Ventures, is a global blockchain and Web3 investor overseeing a portfolio of over 70 high-growth startups. With an educational background from MIT and University of Manchester focusing on Fintech, Blockchain and Quantum Computing , her extensive research focused on digital asset adoption and CBDCs in the European market.As recognized thought leader and named as one of the Top 100 Most Powerful Women in the Middle East, Sarah speaks at global events addressing blockchain use cases, investment trends and inclusion in tech. Sarah's passion for mentorship and supporting young entrepreneurs and women in business extends beyond her professional career. She is actively involved in variousinternational associations and accelerator programs such as Brinc, Algorand Foundation, Sui and more, where she serves as a mentor and advisor, guiding and empowering aspiring entrepreneurs and young professionals to navigate the challenges of building successful business and careers.She’s also involved in several association to drive digital assets and AI adoption in emerging markets through educational workshops with universities, ministries and corporates.",Sarah Abuagela，您在Ceras Ventures担任Partner期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Partner at Ceras Ventures, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Ceras Ventures 管理 70 多个区块链与 Web3 投资。你如何平衡“支持早期技术风险”与“对 LP 做出稳健回报承诺”？,"Managing a portfolio of 70+ Web3 startups at Ceras Ventures, how do you balance backing early technical risk with delivering steady returns to LPs?",你在推动女性和青年创业方面很积极。你认为在 Web3 创业环境中，哪些结构性障碍是可以通过设计基金机制来部分解决的？,"Actively mentoring women and young founders, which structural barriers in Web3 entrepreneurship do you think can be partly addressed through how funds are structured?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/a9f73e10ebe14590b2e23a91238bb798!_!0ed050a663b09ed761b708d63a25c8ea.png?f=webp,avatars/sarah-abuagela.png
Sebastien Vaillant,Sebastien Vaillant,"MEA Sales Director, Enteprise","MEA Sales Director, Enteprise",Ledger,Ledger,Sebastien Vaillant 是 Ledger Enterprise 中东及非洲区销售总监，帮助领先机构部署安全的数字资产基础设施，用于托管、抵押管理和治理。拥有 15 年以上资本市场与企业销售经验的他，与银行、政府和金融科技公司合作，加强区块链安全、主导数字化转型项目、提升反欺诈能力并构建合规框架。此前在万事达（Mastercard）任职时，Sebastien 负责 EEMEA 区域的加密洗钱（AML）及取证工作，与监管部门和执法机构紧密合作。如今，他专注于连接传统金融与 Web3，协助机构在稳定币、代币化与去中心化创新领域安全扩展。,"Sebastien Vaillant is the MEA Sales Director at Ledger Enterprise, where he helps leading institutions deploy secure digital asset infrastructure for custody, collateral management, and governance. With over 15 years in capital markets and enterprise sales, he has partnered with banks, governments, and fintechs to strengthen blockchain security, lead digital transformation projects, enhance fraud prevention, and build compliance frameworks. Previously at Mastercard, Sebastien led crypto AML and forensic initiatives across EEMEA, working with regulators and law enforcement. Today, he focuses on bridging traditional finance and Web3, helping institutions scale safely into stablecoins, tokenization, and decentralized innovation.","Sebastien Vaillant，您在Ledger担任MEA Sales Director, Enteprise期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？","As the MEA Sales Director, Enteprise at Ledger, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Ledger Enterprise 帮机构部署托管和治理系统。你如何看待“自托管”和“机构托管”在未来几年里的分工边界？,At Ledger Enterprise you help institutions deploy custody and governance. How do you see the division of labor between self‑custody and institutional custody evolving in the next few years?,对那些刚开始探索代币化和稳定币的银行，你最常提出的第一条安全建议是什么？,"For banks just starting with tokenization and stablecoins, what is the very first security recommendation you give them?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/2e0ff72f2b9049efb31bd9950ff332d8!_!5379fd48993b4ad84816d0eb91a7466e.png?f=webp,avatars/sebastien-vaillant.png
Sebastien Borget,Sebastien Borget,Co-Founder & Ambassador,Co-Founder & Ambassador,The Sandbox & SANDchain,The Sandbox & SANDchain,Sébastien Borget 是 The Sandbox 的联合创始人，该虚拟世界平台允许玩家通过 NFT 和平台主用途代币 SAND  创造、游玩、拥有、治理并变现内容。他同时担任 SANDchain 大使，这是一条由 SANDchain 基金会构建的零知识区块链，旨在成为创作者经济的金融底座。通过在 The Sandbox 与 SANDchain 的工作，Sébastien 致力于赋能全球创作者，让他们真正拥有数字资产、变现创意并在链上运营社区。除此之外，他在 2020 年出任区块链游戏联盟（BGA）主席，该非营利组织拥有超过 600 家行业成员。他曾被评为 Cointelegraph 2022 年加密领域百大影响力人物第 4 名；The Sandbox 入选 2022 年《时代》杂志 TIME100 “最具影响力公司”榜单；2024 年，他又被《福布斯》评为游戏类别 OC Top 100 创作者之一。,"Sébastien Borget is the Co-Founder of The Sandbox, a virtual platform where players can create, play, own, govern and monetize their experiences using NFTs & SAND, the main utility token of the platform. He is also the Ambassador of SANDchain, a zk-powered blockchain built by the SANDchain Foundation to serve as a financial backbone of the creator economy. Through his work with both The Sandbox and SANDchain, Sébastien champions the mission of empowering creators worldwide, helping them own their assets, monetize their creativity, and build communities on-chain.Beyond these roles, Sébastien serves as the President of the Blockchain Game Alliance in 2020, a non-profit organization comprising 600 key members within the industry. His contributions to the crypto and blockchain space have garnered significant recognition, including being ranked #4 on CoinTelegraph's Top 100 Most Influential People in Crypto for 2022. The Sandbox extends beyond the gaming realm, earning recognition in TIME100's prestigious list of Top 100 Most Influential Companies in 2022, Sébastien has been acknowledged by Forbes, where he was honored as one of the OC Top 100 Creators for 2024 in the Gaming category.",Sebastien Borget，您在The Sandbox & SANDchain担任Co-Founder & Ambassador期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Co-Founder & Ambassador at The Sandbox & SANDchain, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 The Sandbox 和 SANDchain 同时推进创作者经济。你如何判断一位创作者是否已经准备好从“平台内容创作者”升级为“链上 IP 经营者”？,With The Sandbox and SANDchain you power the creator economy. How do you tell when a creator is ready to graduate from “platform creator” to a true “on‑chain IP owner”?,你长期在 BGA 推动链游标准化。未来几年，你最希望看到哪一项跨游戏的“公共基础设施”先被行业集体建设出来？,"Leading the Blockchain Game Alliance, which cross‑game public good would you most like to see the industry collaboratively build in the next few years?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/897a457b58594336bd9fbd274e4e8ab1!_!275bbfb9ec987f7ea2a03d2f1a2b74e3.png?f=webp,avatars/sebastien-borget.png
Seker ​,Seker ​,Head of APAC,Head of APAC,Binance,Binance,Seker 拥有超过 15 年跨公共部门、传统金融、金融科技与数字资产领域的经验，专长涵盖法律、合规与市场准入，并具有丰富的领导履历。在加入 Binance 之前，他是 Crypto.com 集团高级副总裁，负责全球产品开发以及亚太和 MENASA 地区的法律与合规事务。他还曾在蚂蚁集团、罗斯柴尔德集团和 Amicorp Group 担任高级法律职位，更早则在澳大利亚从事诉讼律师工作，随后加入新加坡金融管理局担任央行律师。如今，他负责统筹 Binance 在亚太地区的运营、拓展战略合作伙伴关系并推动市场采用。,"Seker has more than 15 years of experience spanning the public sector, traditional finance, fintech, and digital assets. His expertise covers legal, compliance, and market access, along with a strong record of leadership.Before joining Binance, he served as Senior Vice President at Crypto.com Group, where he managed global product development and handled legal and regulatory matters for APAC and MENASA. He has also held senior legal roles at Ant Group, Rothschild & Co, and Amicorp Group. Earlier in his career, he worked as a litigator in Australia and later as a central banking lawyer at the Monetary Authority of Singapore.In his new role, Seker will oversee Binance’s operations in APAC, cultivate strategic partnerships, and drive market adoption.",Seker ​，您在Binance担任Head of APAC期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Head of APAC at Binance, which recent project or strategy best captures your current focus, and what insights can you share from it?",你从央行律师到多家机构法务，再到 Crypto.com 和 Binance 高管。你怎么看待“全球统一加密监管框架”的现实可能性？,"From central‑bank lawyer to senior roles at Ant, Crypto.com and Binance, how realistic do you think a truly global unified crypto regulatory framework is?",在帮助 Binance 拓展 APAC 市场时，你会如何给本地团队设定一条“风险底线”，提醒大家什么事情绝不能为了增长而妥协？,"When overseeing Binance’s APAC operations, what non‑negotiable risk line do you set for local teams so growth never comes at the cost of that principle?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/a8160c6f0c2e4128b9fd1c6346676548!_!ad3dd9800ad971314fca6ac995c21df3.png?f=webp,avatars/seker.png
Sergej Kunz,Sergej Kunz,Co-Founder,Co-Founder,1inch,1inch,Sergej 拥有 20 余年软件工程与架构经验。早在 2011 年，他就通过尝试挖掘莱特币进入加密世界；2016 年末，他搭建了首个以太坊矿场，并在此后几年运营挖矿业务。此后，他创建了 YouTube 频道 CryptoManiac，进行智能合约安全的直播审计。在一次直播中，后来的 1inch 联合创始人 Anton Bukov 加入，两人一拍即合，接下来半年共同主持改名为 CryptoManiacs 的频道，并一起参加了全球 17 场黑客松。2019 年 5 月，他们在纽约的一场黑客松上开发出去中心化交易所聚合器的 MVP，为后来的 1inch 奠定基础。,"Sergej has 20+ years of experience as a software engineer and software architectHis first introduction to the crypto space dates back to 2011, when he attempted to mine Litecoin. In late 2016, he built his first mining farm for Ethereum. After mining Ethereum for a couple of years, he launched a YouTube channel called CryptoManiac, on which he conducted live security audits of smart contracts.During one of the live streams, Anton Bukov, who would later become the co-founder of 1inch, joined in. The two developers hit it off and, for the next six months, Anton became the co-host of the channel, now renamed to CryptoManiacs. Together, they participated in 17 hackathons around the globe. Later, at a hackathon in New York in May 2019, they developed an aggregator MVP for decentralized exchanges.",Sergej Kunz，您在1inch担任Co-Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Co-Founder at 1inch, which recent project or strategy best captures your current focus, and what insights can you share from it?",你从挖矿和安全审计，到联合创立 1inch。你如何向开发者解释：“聚合器”不仅是路由器，更是一种对流动性和安全负责的基础设施？,"From mining and live security audits to co‑founding 1inch, how do you explain to developers that an aggregator is not just a router but infrastructure with real responsibility for liquidity and safety?",你参加过众多黑客松。回顾这么多原型项目，你觉得哪一种最有潜力，却因为团队或时机原因没有坚持下去？,"Having attended many hackathons, what type of project had the most potential but usually failed due to team or timing rather than technology?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/c6d8f8d5b7e340b4bd5e9284454cfa4a!_!d5bea4f700378f839a2d4f760e8df524.png?f=webp,avatars/sergej-kunz.png
Spottie WiFi,Spottie WiFi,Web3 Artist & Creator,Web3 Artist & Creator,,,"Spottie WiFi 是全球首位也是唯一一位 “CryptoPunk 说唱歌手”，在音乐与 Web3 的融合上开创先河。自 2021 年出道以来，他成为加密文化中极具影响力的声音之一，在不到一分钟内售罄 2,000 张 NFT 专辑，并激发 Snoop Dogg、Timbaland 等艺术家入局该领域。凭借在加密 Twitter 上的强大影响力、在 Binance Square 不断增长的直播受众，以及“2025 年 Binance Blockchain 100”荣誉，Spottie 正把区块链创新与主流音乐连接起来，他的实践持续重塑艺术家在 Web3 时代创作、发行并与粉丝互动的方式。","Spottie WiFi is the world’s first and only CryptoPunk rapper, pioneering the fusion of music and Web3. Since his 2021 debut, he has become one of the most influential voices in crypto culture, selling out 2,000 NFT albums in under a minute and inspiring artists like Snoop Dogg and Timbaland to explore the space. With a strong presence on crypto Twitter, a fast-growing livestream audience on Binance Square, and recognition as a 2025 Binance Blockchain 100 honoree, Spottie connects blockchain innovation with mainstream music worldwide. His work continues to reshape how artists create, release, and engage with fans through Web3.",Spottie WiFi，您在贵团队担任Web3 Artist & Creator期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Web3 Artist & Creator at your team, which recent project or strategy best captures your current focus, and what insights can you share from it?",你用 CryptoPunk 身份重新定义音乐人和粉丝关系。你觉得 NFT 专辑真正改变的是“版权结构”还是“粉丝社群结构”？,"Using a CryptoPunk identity, you’ve redefined the artist–fan relationship. Do you think NFT albums fundamentally change copyright structures or fan‑community structures more?",对还在 Web2 流媒体平台挣扎的独立音乐人，你会如何建议他们迈出进入 Web3 的第一步，而不过早承担技术和财务复杂度？,"For independent artists still reliant on Web2 streaming, how would you advise them to take a first step into Web3 without overwhelming technical or financial risk?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/f1f619007fcf463f9599e827e3ecc7d2!_!34ac165ffd48386546e2b1a06a9ac217.png?f=webp,avatars/spottie-wifi.png
Staci Warden,Staci Warden,CEO,CEO,Algorand Foundation,Algorand Foundation,在出任 Algorand Foundation  首席执行官之前，Staci Warden 曾领导米尔肯研究院的全球市场发展业务，负责资本市场发展与创新金融相关工作。再之前，她在摩根大通供职八年，先后负责 EMEA 公共部门业务（伦敦）以及主权债务资本市场（纽约）。在加入摩根大通前，Staci 领导纳斯达克的两家小盘股市场，并曾担任全球发展中心创始首席运营官，以及美国财政部和哈佛国际发展研究所的国际经济学家。她长期就区块链与 Web3 的前景及实践影响发表演讲与著述，并为各国部长级官员提供资本市场发展与金融包容方面的咨询。Staci 曾担任卢旺达资本市场管理局董事长长达七年，并在多家机构和咨询委员会担任职务。,"Prior to joining the Algorand Foundation as its CEO, Staci Warden ran the Global Market Development practice at the Milken Institute, where she led its work on capital market development and innovative finance. Prior to Milken, she spent eight years at JPMorgan, where she ran the public sector practice for EMEA (London) and worked in sovereign debt capital markets (New York). Before JPM, Staci led the two microcap markets at the Nasdaq. Earlier in her career, she was the founding COO of the Center for Global Development, and an international economist at the U.S. Treasury Department and the Harvard Institute for International Development. Staci speaks widely and writes on the promise and practical implications of blockchain and related Web3 technologies, and provides ministerial-level advisory on capital market development and financial inclusion. She served as the Board Chair of the Rwandan Capital Markets Authority for seven years and has held a range of other BOD and advisory board appointments.",Staci Warden，您在Algorand Foundation担任CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CEO at Algorand Foundation, which recent project or strategy best captures your current focus, and what insights can you share from it?",你从纳斯达克、小额资本市场到 Milken 和 Algorand Foundation，一直关注资本市场发展。你如何向发展中国家的官员解释“链上资本市场”能提供哪些传统市场给不了的公共产品？,"From Nasdaq microcaps to the Milken Institute and Algorand Foundation, you’ve focused on capital‑market development. How do you explain to emerging‑market officials what public‑good functions an on‑chain capital market can provide that legacy markets cannot?",回顾你在卢旺达资本市场管理局的经历，你认为哪一个监管实践最值得其他国家在设计数字资产框架时借鉴？,"Looking back on your time chairing Rwanda’s Capital Markets Authority, which regulatory practice would you most recommend other countries adapt when designing their digital‑asset frameworks?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/5ccfe7d9f2984ea0ba081e4b0c5238b2!_!f9370b0bf759887e296e558eb037c25c.png?f=webp,avatars/staci-warden.png
Stephen McAllister,Stephen McAllister,Team Lead,Team Lead,Binance Academy,Binance Academy,暂无中文介绍（可在 CSV 中补充）,,Stephen McAllister，您在Binance Academy担任Team Lead期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Team Lead at Binance Academy, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在传统金融、合规或基础设施方面有丰富经验。你觉得金融机构在评估“链上结算”时，最应该改变的是哪一种成本认知？,"With your experience across finance, compliance, or infra, what cost assumption do financial institutions most need to revise when evaluating on‑chain settlement?",对刚进入加密世界的机构风控团队，你会如何建议他们建立第一版“链上风险地图”？,"For risk teams new to crypto, how would you recommend they build their first “on‑chain risk map”?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/80831eb9924346528aecd1c1f7a29e2a!_!254bac0fbd978a543f73a9d5424506cc.png?f=webp,avatars/stephen-mcallister.png
Tamara Pupic,Tamara Pupic,Managing Editor,Managing Editor,Entrepreneur Middle East,Entrepreneur Middle East,Tamara Pupic 是《Entrepreneur Middle East》杂志执行主编，该杂志由迪拜 BNC Publishing 运营，并获得美国《Entrepreneur》授权出版。她是一位资深记者与法律专家，专注探索法律、科技与金融交汇处的话题。Tamara 拥有伯尔尼世界贸易研究所国际法与经济学硕士学位（M.I.L.E.），并在阿联酋商业新闻领域拥有十多年经验，擅长围绕复杂监管议题、商业增长与新兴技术进行深度分析与生动叙事。她主持的 “SandDunes by Entrepreneur Middle East” 平台，致力于厘清虚拟资产领域、解读不断演变的监管环境并展示成功企业案例。,"Tamara Pupic is the Managing Editor of Entrepreneur Middle Eastmagazine, a division of Dubai-based BNC Publishing officially licensed by the US-based publication Entrepreneur. She is a seasoned journalist and legal expert with a deep passion for exploring theintersection between law, technology, and finance. With a master’s degree ininternational law and economics (M.I.L.E.) from the World Trade Institute in Bern (Switzerland) and more than a decades’ long experience in business journalism inthe UAE, Tamara Pupic focuses on incisive analysis and engaging storytellingaround complex regulatory issues, business growth, and emerging technologies. She is the host of the SandDunes by Entrepreneur Middle East platform that aimsto demystify the virtual assets landscape, explore evolving regulations, spotlightsuccessful businesses.",Tamara Pupic，您在Entrepreneur Middle East担任Managing Editor期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Managing Editor at Entrepreneur Middle East, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Entrepreneur Middle East 报道创业、监管和虚拟资产。你觉得目前媒体在讲述 Web3 与监管故事时，最大的问题是“过度戏剧化”还是“过度简单化”？,"At Entrepreneur Middle East you cover startups, regulation, and virtual assets. When it comes to Web3 and regulation, do you think media’s biggest issue is over‑dramatization or oversimplification?",你主持 SandDunes 系列节目，如果要为监管者录制一集“给创业者的公开信”，你最想提醒创业者避免哪三种误判？,"Hosting the SandDunes series, if you were to produce an episode as an “open letter from regulators to founders,” which three misjudgments would you highlight?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/70a657d7631a4b4da1338a704bb39d47!_!b4e3593401d503f3075ca758cd1c1ea2.png?f=webp,avatars/tamara-pupic.png
